"filepath","start","end","scientific_name","common_name","confidence","lat","lon","week","overlap","sensitivity","min_conf","species_list","model"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",0,3,"Turdus migratorius","American Robin",0.6748,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",3,6,"Turdus migratorius","American Robin",0.288,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",12,15,"Turdus migratorius","American Robin",0.2086,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",15,18,"Turdus migratorius","American Robin",0.2295,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",18,21,"Turdus migratorius","American Robin",0.4256,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",21,24,"Turdus migratorius","American Robin",0.2278,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",24,27,"Turdus migratorius","American Robin",0.2672,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",27,30,"Turdus migratorius","American Robin",0.4452,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",30,33,"Turdus migratorius","American Robin",0.5287,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",33,36,"Turdus migratorius","American Robin",0.6542,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",36,39,"Turdus migratorius","American Robin",0.6083,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",39,42,"Turdus migratorius","American Robin",0.5963,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",42,45,"Turdus migratorius","American Robin",0.5561,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",45,48,"Turdus migratorius","American Robin",0.5288,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",48,51,"Turdus migratorius","American Robin",0.6056,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190000.WAV",51,54,"Turdus migratorius","American Robin",0.5706,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",12,15,"Turdus migratorius","American Robin",0.5364,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",15,18,"Turdus migratorius","American Robin",0.3871,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",18,21,"Turdus migratorius","American Robin",0.344,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",21,24,"Turdus migratorius","American Robin",0.6306,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",24,27,"Turdus migratorius","American Robin",0.2059,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",27,30,"Turdus migratorius","American Robin",0.4134,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/20240330_190100.WAV",30,33,"Turdus migratorius","American Robin",0.6198,-1,-1,-1,0,1,0.2,"/Volumes/NoCo Audio/Eclipse 2024/A002_SD013/NENHC output/species_list.txt","BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite"
